,average_rate_per_night,bedrooms_count,city,date_of_listing,description,latitude,longitude,title
321,$79,1,Houston,Mar-16,"My place is close to Airport\tDrive\tDistance\nWilliam P. Hobby\n18 min\t9.5 mi\nHouston George Bush Intercontinental\n31 min\t23.5 mi\nParks and Recreation\tDrive\tDistance\nDiscovery Green\n9 min\t2.8 mi\nChildren's Museum of Houston\n10 min\t5.4 mi\nHouston Museum of Natural Science\n12 min\t5.6 mi\nCockrell Butterfly Center\n13 min\t6.0 mi\nHermann Park\n12 min\t6.7 mi\n Colleges\tDrive\tDistance\nUniversity of Houston\n8 min\t2.3 mi\nTexas Southern University\n9 min\t3.3 mi\nUniversity of Houston, Downtown\n11 min\t3.4 mi.",29.73764487,-95.32989092,East Downtown Sanctuary
322,$75,1,Houston,Jun-17,QUIET NEIGBORHOOD CLOSE TO AIRPORT AND SHOPPING,29.60929841,-95.19123496,CONVENIENT
323,$700,4,Houston,Jan-17,"My place is close to Public transportation (Metro Park and Ride), 10 minutes from George Bush International Airport, parks, mall, and only 30 minutes from Down Town and 35 minutes from Reliant Stadium with easy access to freeway.. You‰Ûªll love my place because of The location. My place is good for families (with kids) and big groups.",30.03614675,-95.2488033,Home away from Home ....
324,$280,1,Houston,Jan-17,"My place is close to Downtown. It's only minutes away from George R. Brown Convention Center, Minute Maid Park, Toyota Center, BBVA Compass Stadium and Houston night life.\n\nYou‰Ûªll love my place because it's in a quiet community tucked away east of Downtown. My place is good for couples and solo adventurers.\n\nThere is plenty of room to park and Uber makes it easy to get around the city if you're not bringing a car. There's also public transportation around town.",29.7492209,-95.31912727,Superbowl Ready! East of Downtown - QueTee Abode
325,$200,1,Houston,Jan-17,"Great one-bedroom apartment available for business trip or pleasure in Space City Houston. Within walking distance from Hobby Airport. only 15 minutes from downtown, 15 minutes from NRG Stadium (home of SuperBowl LI) 20 minutes from Nasa Space Center, and 45 minutes from the beaches of Galveston, and 20 minutes from Houston Zoo.",29.65842298,-95.27449176,Great 1 bedroom apartment for SUPERBOWL LI!!!
326,$2000,0,Houston,Jan-17,"My place is on IH-45 south. It located close to the University of Houston, Downtown, and Midtown and only 10 minutes from NRG stadium. . You‰Ûªll love my place because of It is 2800 Square feet with 2 big bedrooms and large common area with a full bar, 16 foot big screen tv and sound system. Perfect for a large group and extra space for sleeping. The place is secluded and safe. . My place is good for couples, business travelers, families (with kids), and big groups.",29.70796792,-95.30777604,Superbowl Ready Large Loft
327,$1600,4,Houston,Jun-16,"My place is close to the airport, family-friendly activities, and nightlife. You‰Ûªll love my place because of Space and location, 15 Minutes to downtown!. My place is good for couples, business travelers, families (with kids), and furry friends (pets).",29.92420589,-95.16786057,Spacious and Comfortable
328,$995,3,Houston,Jan-17,"Gated home that is 5 minutes from Downtown Houston. This home is one block from I-10 freeway with easy access to all downtown festivities. Relax southern style with a beautiful ranch style house featuring 3 bedrooms and 1.5 baths, central a/c &amp; heating, washer/dryer, free cable and a big screen t.v. The kitchen has a oven and refrigerator for your use.",29.77296433,-95.31448116,Cozy 3 Bedroom Home Near Downtown
329,$100,0,Houston,Mar-14,Near the Superbowl Stadium (15 mins) and near downtown (15 mins).,29.71302899,-95.28939133,Evergreen Apartments
330,$165,4,Houston,Dec-14,"Just 2 miles from downtown Houston, in the heart of the historic end.\n\n\",29.73637763,-95.32655215,Charming 4BR+2BATH Gated Parking 2mi from Downtown
331,$60,1,Houston,Aug-16,You‰Ûªll love my place because of Really clean relax. No kids no pets. . My place is good for solo adventurers and business travelers.,29.71090451,-95.66027615,West houston room
332,$85,1,Houston,Apr-16,"House near Highway 10, which is 40 minutes away from downtown Houston. The nearest places are malls and city centre. Katy mills, Cinco ranch city centre, memorial mall, memorial city centre. Perfect place to stay and enjoy your time.",29.81551092,-95.69710197,Confortable and Beatiful Large Master bedroom
333,$45,1,Houston,Feb-17,Amazing area with great restaurants.,29.72693738,-95.65259391,West oaks/Private Room
334,$50,1,Houston,Mar-16,"Katy area - safety and convenience location\n25 minutes to Downtown &amp; Galleria Mall\n10 minutes to City Center &amp; Memorial Mall\n10 minutes to Katy Mill Shopping Center \n5 minutes to Walmart, Chase bank , Starbucks, Waffle House, Cracker Barrel...",29.81115803,-95.70283097,Perfect location - Houston
335,$23,1,Houston,Nov-15,My place is close to I 10 and 610 east. You‰Ûªll love my place because of the location and the ambiance. My place is good for solo adventurers and transitioning.,29.75217597,-95.25556774,Cozy and Easy Freeway Access House
336,$62,1,Houston,Mar-15,The is a completely private apartment above our house. Complete kitchen and bath. The bath is completely renovated with slate throughout. Rain shower and hand held shower. Private deck with beautiful views! \n7 Miles to SUPER BOWL NRG STADIUM!\n3 MILES FROM HOBBY!,29.69065169,-95.26650747,Woody Loft!
337,$60,1,Houston,Mar-17,"This condo is a one bedroom, one bath and is located minutes from NASA and the Kemah boardwalk. Some amenities included in your booking:\n\n-Two parking spaces\n-Wifi\n-3 TVs equipped with Hulu and Netflix \n-Full kitchen \n\nDining space has been converted to a loft style room, so if you have a child traveling with you, this area is perfect for them (my daughter loves it!). It has a twin sized bed that they need to crawl a small ladder to get to. \nThe master bedroom has a full mattress.",29.54050235,-95.09751076,Cozy Waterfront Condo near NASA
338,$45,1,Houston,Feb-17,Amazing location and lots of restaurants.,29.72790149,-95.65135796,West Oaks Private Room II
339,$45,1,Houston,Aug-16,"This is one of the newly remodeled private room in Josephine Motel. Simple and cozy with spacious shower . Conveniently located at the Southeast corner of Loop 610 and I-45. Big shopping center is just across the street where you will find all kinds of fast food places like subway, McDonald's, Burger King, Great Wall Chinese Buffet and many many more. There is also Seller's Brother grocery store if you are craving for fresh fruits and produce.",29.71243759,-95.31569587,Nice new Remodeling single room #17
340,$450,2,Houston,Jan-17,"My place is perfect for your 2017 Super Bowl Getaway. New modern centrally located apartment inside the 610 Loop, with quick access to major highways. In close proximity to NRG Stadium, Midtown Houston, Downtown Houston and Hobby Airport. The apartment is about 1000 Sq ft, wood-floors, black appliances, granite counter tops in kitchen and bathroom, marble tiles in shower, and Hi speed WiFi. \n\nThe complex is gated and will serve as the perfect location to your Super Bowl Weekend!!",29.70045958,-95.30036496,Super Bowl luxury Apartment near NRG (2Br/2Ba)
341,$330,1,Houston,Aug-16,"Super Bowl ready - 1 Bedroom / 1 Full Bathroom apartment located in Cinco Ranch Area (West Houston). \n\nWood floors, Granite Countertops,kitchen/living area, Cable/Wifi, Netflix. Property amenities include onsite Gym, Luxury Pool, and indoor Basketball Court and Lounge. Easy travel access (25 minutes to NRG Stadium/Downtown)",29.69938057,-95.78605448,Houston-Super Bowl - 1 Bed / 1 Bath
342,$40,1,Houston,Nov-15,Nestled in a peaceful neighborhood with easy access to major highways helping you get to downtown Houston. The room has a comfortable queen bed that sleeps two wit a semi-private bathroom with necessary toiletries and towels. You have access to the kitchen and also access to the washer and dryer. Free WiFi,29.59702146,-95.11131267,Peace Quiet and Cozy
343,$375,1,Houston,Jan-17,"Welcome to my home for Super Bowl 51! Very large one bedroom apartment with a fully equipped full size kitchen, laundry room and a large bathroom. PET FRIENDLY! The bedroom is equipped with brand new pillow top mattresses; one is a queen and one is a twin daybed. The bedroom has plenty of space for a portable crib. I also have a queen size air mattress that can sleep two. I have plenty of extra pillows and blankets! Also, there is a lot of free visitor parking around my building!",29.72057448,-95.64846466,West Houston Spacious Apartment for 4
344,$150,1,Houston,Mar-16,"Nice natural light, spacious, CLEAN, smells good. You can move room around to appeal to you. We will take stuff out if you don't want it in there.",29.71265768,-95.29967397,Chill Palace
345,$50,0,Houston,May-16,"Upstairs garage apartment in historic East End neighborhood. Quiet except for the occasional fast car, fiesta or train horn. Close to downtown, Hobby Airport and the University of Houston. Queen bed and a queen sleeper sofa to sleep a total of 4 adults. Pack and Play for a baby or toddler if needed. Full kitchen and full bathroom. Table seats 4 for eating or working. Free Wifi. No TV. Shared washer and dryer in the garage. Steep driveway so street parking only.",29.72815224,-95.30017976,East End Studio near Downtown
346,$50,0,Houston,Dec-16,"The efficiency gives a lot. It is arranged where the kitchen and dining table appear to be one setting, the sofa has it's own focal point. The huge television currently has a dvd hooked up to it. The bed mattress are brand new. The efficiency has an a/c heater combo. In the bathroom, there is a stand up shower, sink, mirror and cabinet. It is attached to a home and there is a closed in yard. There are two parks close by and a great walking trail for jogging. Internet access for fee.",29.71742907,-95.66823444,Cozy and Private 4 U
347,$349,2,Houston,Jan-17,"My place is close to restaurants and dining, parks, not far from NRG Stadium, host of the 2017 Super Bowl. My place is good for couples, solo adventurers, business travelers, families (with kids), and furry friends (pets).",29.79437579,-95.70668431,Your place for the 2017 Super Bowl
348,$3000,4,Houston,Jan-17,"My place is close to the airport, the city center, and a number of parks. You‰Ûªll love my place because it's in a nice neighborhood, the beds are comfy, it has a large kitchen, and a stocked media room with a 120\",29.91986949,-95.17378874,Super Bowl LI Weekend Rental
349,$99,1,Houston,Sep-15,Brand new kitchen cabinets granite counters ss sink &amp; ss appliances. New floors paint and blinds...recess lighting. New bathroom vanity toilet and fixtures...recently renovated studio a must see for sure. Apt is minutes from downtown. Don't miss out!,29.74883352,-95.30510529,NEAR Downtown studio been renovated
350,$950,2,Houston,Jan-17,"Perfect two bedroom party house with pool-table, plenty of free parking, extra sofa bed, multiple oversize televisions, 2 mountain bike, barbecue pit, washer/dryer set, huge cooler, and best of all only 3 mins from downtown Houston and 9 mins to NRG",29.77668108,-95.31943972,Superbowl Party House 9 min to NRG
351,$50,1,Houston,Jan-17,"Driving we are located 5 minutes away from University of Houston, 7 minutes from downtown stadiums for Astros, Dynamo and Rockets and 15 minutes from Reliant Football Stadium. Walking is 5 min to Walmart, 1 min to bus stop and 2 min to a park.",29.71643254,-95.31043238,Near Downtown Bungalow
352,$89,1,Houston,Mar-16,"Luxury Executive Apartment is situated within The Fairways, a gorgeous resort-style gated-community complex at the South Shore Harbour master planned community in League City, Texas. NASA/Space Center Houston, attractive recreational areas .",29.5400208,-95.05806982,Luxury Executive Apartment Houston1
353,$200,1,Houston,Jan-17,"Contemporary styled apartment with a beautiful color scheme attached. Consists of 1 Bedroom (Master), Dining area, 2 balconies, Kitchen (Fully equipped), Living Room, and Bathroom with bath/shower combo and two sinks included. \nLocated 24 miles from NRG Stadium; approximately 35 minutes away. \nLocated 22 miles from Downtown Houston; approximately 32 minutes away.",29.73208409,-95.6537604,Gorgeous Space
354,$55,1,Houston,Jul-14,"We live in a 3 story, stand alone, townhome. The townhouse itself is large about 2000 sq. ft., with one other private room I rent on Airbnb as well. If you are interested in renting both rooms, you can find the other listing on my profile page.",29.74966233,-95.32068034,Guest room in quiet neighborhood
355,$40,1,Houston,Feb-16,2 Single Bed with Private Bed Room in Center of Town,29.70301394,-95.67749301,2 Single Bed with Private Bath in Center of Town
356,$1100,1,Houston,Nov-16,"Great location, gated community apartment comes with a garage",29.72645381,-95.6467028,Nice one bedroom apartment
357,$26,1,Houston,Oct-15,"My place is a nice little home about 15 miles outside of downtown Houston . My place is good for couples, solo adventurers, business travelers, and furry friends (pets).",29.80059229,-95.17464059,Nice suburban home outside of downtown Houston
358,$97,3,Houston,Aug-16,"This completely redone house in the Historic East End is spacious and accommodating. It conveniently located and offers multiple amenities and finishes.\n\nFeatures\n+ Gated parking\n+ Full Kitchen\n+ Hi Speed Wifi \n+ Streaming TV - Netflix, HBO GO, Amazon Prime\n+ Washer &amp; Dryer\n\n10 min drive from Downtown, the Medical Center and Hobby Airport.",29.73093679,-95.32501629,Modern Gem - Close to Everything
359,$550,3,Houston,Jan-17,Great place for families with kids. Total of 3 tvs. 16 miles from Super Bowl at Reliant Stadium. Far enough away from the traffic yet close enough to for Super Bowl and Kemah Boardwalk. Air mattresses welcome to accommodate more guests.,29.60969803,-95.19657677,3 Bedroom Home for Super Bowl
360,$1000,4,Houston,Jun-15,"My place is close to 26 minutes/21 miles from NRG - Superbowl HQ. You‰Ûªll love my place because of the light, kitchen, high ceilings. My place is good for big groups.",29.79506532,-95.18007357,Superbowl Compound
361,$1000,1,Houston,Jan-17,"My place is close to restaurants and dining. You‰Ûªll love my place because of the location, the coziness and ambiance .",29.91137312,-95.19733316,SUPERBOWL HOUSTON 15 minutes from IAH airport.
362,$25,1,Houston,Apr-16,"This is a spacious townhouse with plenty of natural light. We keep a relaxed energy &amp; enjoy to laugh in this house. There are endless dining options withing 5 miles with multiple parks/trails near the townhouse. There is a mall within walking distance from the front door. This a is small neighborhood with an entrance gate, the neighbors are very quiet &amp; respectable. We are 2 gay best-friends that do enjoy our home.",29.72648214,-95.65112641,The Birds Nest Part I
363,$750,3,Houston,Jun-16,"My place is close to NRG Stadium, Downtown, Hobby Airport. You‰Ûªll love my place because of spacious and conveniently located. My place is good for families (with kids) and big groups.",29.70091537,-95.29344673,"SUPERBOWL! Close to stadium, airport, and downtown"
364,$69,1,Houston,Dec-14,"Just 2 miles from downtown Houston, in the heart of the historic end.\n\n\",29.73526717,-95.32645527,Eclectic 1BR+1Bath+Gated Parking 2mi from Downtown
365,$750,3,Houston,Jan-16,"Charming and Cozy 3 bedroom, 2 bathroom Home located near the Energy Corridor. 30 minutes from NRG, 30 minutes from Downtown, 25 minutes from Cypress Outlets, 10 minutes from Katy Mills Mall, 15 minutes to City Centre and Memorial City Mall. Perfect location for all attractions that interests you and your group!",29.79615628,-95.68519424,Your Home Away from Home for Superbowl 2017
366,$425,3,Houston,Aug-16,"Waterfront Home Riverfront Home \nThe property is close to the airport, the city center, parks, art and culture, and public transport. You‰Ûªll love my place because of the River Water sports outdoors, the neighborhood, Boating kayaking, the comfy beds, is Banana Bend San Jacinto River, great views, nearby beach, nightlife, family-friendly activities, restaurants and dining. My place is good for couples, solo adventurers, business travelers, sports enthusiasts families (with kids), Pet friendly.",29.8283886,-95.08259982,Waterfront Riverfront Home
367,$3000,2,Houston,Jan-17,The place is well lit and has an open concept living room/kitchen area. The home has plenty of room upstairs and downstairs. Fully furnished as well as snacks in the dining area. This location is a 15min drive from downtown Houston and is surrounded by restaurants/bars/stores.,29.86506283,-95.20420419,Super Bowl Vacations
368,$1400,3,Houston,Jan-17,"Exceptional, Modern interiors with a fusion of style and sophistication",29.79090363,-95.70666781,Modern 3 Story TownHome
369,$50,1,Houston,Apr-14,"Private 1b/1b garage apt w/hardwoods. Queen in bedroom; sofa bed in living room. Apt is privately located behind my bungalow in the historic Eastwood area (Inner loop). Convenient to rail/bus, downtown/GRB/NRG, Med &amp; Toyota Center and universities (UH/Rice/TSU). Full kitchen, updated bathroom and WiFi. 2.4 mi to GRB/Discovery Green. 6.3 mi to NRG Stadium.",29.73343243,-95.32453413,Cosy East DT Treehouse - DT 2.9mi
370,$1250,3,Houston,Jun-14,This is a 3 bedroom/2 bath house with 2 living areas. One sectional and one pull out couch. Located 11 miles from stadium and conveniently located to many hot spots. 3 night min,29.72006424,-95.28966381,Perfect House for Super Bowl!
371,$650,1,Houston,Jan-17,"My place is close to Westheimer, City Center, I10, 59 &amp; the beltway. You‰Ûªll love my place because its spacious &amp; comfortable, a home away from home feeling tucked away from all the traffic Super Bowl weekend is sure to bring. Plus the bed is cozy, the kitchen is roomy, great for families or a girl/guy friends get-a-away. My place is good for couples and families (with kids).",29.7195003,-95.64995965,Super Bowl Ready! Wifi & Netflix available
372,$7500,1,Houston,Feb-17,I have a room for rent for Superbowl weekend \n2 days 1 room 1 bunk bed 2 comfortable beds,29.61099089,-95.21994021,Superbowl Settlers ranch
373,$200,2,Houston,Jan-17,"Who says Houston is not a walkable city?! 3 Minute walk to the METRO LIGHT RAIL that takes you to Downtown Houston and connects to NRG Stadium. Downtown night life minutes away no need to drive and pay for parking! \n\nThis place is close to Downtown Houston, Metro light rail, hobby airport , the airport, nightlife, discovery green, Toyota center and NRG Stadium. \n\nIt has a private entrance in and out and own key. Area includes 2 Bedrooms and one Private Bathroom with a shower.",29.7399821,-95.32113492,Cozy Private Area - 3 Miles away from Downtown!
374,$100,1,Houston,Jan-16,In Green Trails. Less than 2 minutes to get on I-10.,29.77658805,-95.69307647,Brand New Apt near Energy Corridor
375,$95,1,Houston,Nov-16,Our cool and comfortable one bedroom is centrally located only 15 minutes from downtown Houston. It is adjacent to great shopping and restaurant favorites.,29.81630595,-95.16245466,Cozy 1 bedroom adjacent to shopping
376,$1268,2,Houston,Oct-14,"Located in a Historic Neighborhood built for NASA, you will appreciate our spacious but comfy home very close to Hobby Airport and convenient to I-45 S &amp; NRG Stadium. This former SuperHost married and moved from downtown Rice Lofts but still offers hotel like concierge and daily cleaning service but much more personable and without hassle, crowds or long waits.",29.66622922,-95.27289116,Mid-modern Century in Space Cty.
377,$1500,3,Houston,Aug-16,"My place is close to 30 minutes to the Super Bowl and 15 minutes from two malls that is in Sugarland Texas., nightlife. You‰Ûªll love my place because of the neighborhood, the comfy bed, close to everything and you can use Uber to get around to experience but Texas and Louisiana cuisines. \n\nNo pets allowed.. My place is good for couples, solo adventurers, business travelers, families (with kids), and big groups.",29.68122417,-95.67120576,"3 bedroom and 2 baths , 1 story brick home"
378,$4000,3,Houston,Jan-14,"Located in EaDo Houston with easy access to the Houston Light Rail, 18 minutes from NRG stadium and 10 minutes from Downtown and all Super Bowl activities.",29.74724413,-95.31818035,3bd 2.5 br located 18 min from NRG
379,$300,4,Houston,Jul-15,"Spacious 3500 sq ft two story home on a 13,000 sq ft lot with private swimming pool and spa. Perfect home setting for being away from home. Large living room with fireplace, kitchen with breakfast table area, formal dining room, study room with desk, 4 up-stairs bedrooms with large walk-in closet space for suitcases and clothes, two large double-sink-double-vanity bathrooms with tub and shower, up-stair game room/sitting area and personal gym. Incredible value compared to hotels.\n\nThe Kitchen\n\nFully stocked kitchen with microwave, oven, gas range, all pots, pans, utensils, mugs, cups, wine glasses, openers, tea kettle, coffee maker, coffee, tea, baking sheets....this kitchen has everything you need to prepare big meals at home, and of course an outdoor grill.\n\nOutdoor/Yard Space\n\nLarge fully fenced yard with swimming pool and spa. Upstairs and downstairs shaded backyard patios with outdoor furniture on both levels.\n\nAir B&amp;B will unlock or reveal our exact address after your booking is finalized or closer to your stay ‰ÛÒ it is kept private for security purposes prior to that.\n\nYou'll have the whole home, yard and pool to yourself, with wireless internet and gas barbecue grill.\n\nPlease provide us with a general time of your arrival ‰ÛÒ check-in is after 4 PM unless other arrangements are made.\n\nWe meet with the guest upon check-in and for any needed assistance during your stay.\n\nWalk-through of home with guests is done only after reservation is confirmed and on the day of check-in and on check-out. Guest who confirmed reservation must be present.\n\nLocated just off I-10E and Beltway 8 North (Sam Houston Parkway) The New Forest subdivision is surrounded with restaurants, education opportunities, entertainment venues, shopping and more. \nSeveral bars, restaurants, and coffee shops are less than 5 minutes walking/driving away. A detailed listing will be provided to you upon check-in.\n\nGuests will need to provide for their own transportation as there is no public transit in this area.\n\nOther places to go in Houston:\n\nWhether its business or entertainment, Houston has everything you need to stay busy or just relax. The distance of the home to key spots are as follows:\nDowntown Houston-17.1 miles\nToyota Center-17.9 miles\nDiscovery Green Park-16.3 miles \nGeorge R. Brown Convention Center-16.1 miles \nMinute Maid Park-15.9 miles\nBBVA Compass Stadium-16 miles\nDowntown Aquarium-17.2 miles\nMuseum District-19.1 miles\nHouston Zoo-20.4 miles\nMedical Center Area-21.8 miles \nHouston Galleria-25.4 miles\nReliant Stadium-23.9 miles\nHobby Airport (HOU)-19.1 miles\nHouston Intercontinental (IAH) Airport-20.2 miles \nGalveston-53.8 miles\nSpace Center Houston-26.9 miles\nKemah Broadwalk-25.7 miles\n\nStarting April 27, 2017 to May 5, 2017 a 10% discount will be offered.",29.81022873,-95.16967031,Plantation Glen Park Dr. Oasis
380,$500,2,Houston,Dec-16,"Contemporary decor, open concept with a lot of natural light. Restaurants and Mall 5 miles away. 25 Miles to NRG Stadium and 23 Miles to George R. Brown Convention Center for Pre Super Bowl Activities.",29.59903783,-95.11277205,Spacious Home for Super Bowl
381,$65,1,Houston,Dec-14,"Just minutes from NASA, Kemah Boardwalk, Clear Lake bay for boating and water sports, major shopping areas, and Clear Lake medical center; 45 minutes to scenic and historic Galveston, 1 hour from downtown Houston.",29.55511951,-95.07697413,Casa Del Mar near NASA
382,$47,1,Houston,Feb-17,"We actively live in our home and invite you to do so as well. Our home is a traditional 2-story home. This bedroom with a queen bed is on the second floor, fourteen steps up. Many of our rooms have color. This bedroom is blue and sleeps two people. Another bedroom is pink and has two twin beds. It can be reserved on another listing. The colors are tactful and tastefully done. Use the house and make it yours. The neighborhood is very well taken care. This is beautiful place to stay.",30.03918286,-95.22587647,1 Queen Sleeps 2 NE Houston 20 Minutes from Bush
383,$56,1,Houston,Apr-13,"My place is close to public transport, nightlife, family-friendly activities, restaurants and dining, downtown, sports (5 min from Rockets and Astros), and light rail for access to the Texans NFL stadium. \n\nYou‰Ûªll love my place because of the comfy bed, the coziness, the high ceilings, the kitchen, reliable wifi, central location, affordable Uber trips, privacy, entertainment options, and large storage space. \n\nMy place is good for couples, solo adventurers, and business travelers.",29.76612676,-95.33472957,Luxury Townhouse Downtown
384,$135,2,Houston,Feb-16,Guest will have access to the entire upstairs and are free to use the parking outside of the town homes. Husband and fur babies will be home and staying down stairs for your privacy. Great for a group of four so you can share the TV/beer cooler upstairs.,29.86226002,-95.21488964,2 Bedrooms/Easy commute to IAH Bush
385,$500,2,Houston,Mar-16,"New construction beautifully furnished townhouse in East Downtown. Less than 3.5 miles from all Super Bowl festivities. Reliant Stadium, where the Super Bowl itself will take place, is only 11 miles away (note ALL official festivities will be downtown; ONLY the actual game itself is at the Stadium; any native Houstonian can explain you will want to hang out &amp; party downtown &amp; not near the Stadium). Centrally located near everything worth doing in Houston meaning this is not in the suburbs.",29.74745149,-95.31852324,LuxuryTownhouse East Downtown (Warehouse District)
386,$120,3,Houston,Jan-17,"Newly renovated, near 1-10, 7 minutes from downtown, fireplace, 3bedrooms, double vanity 1 bath, 1 street neighborhood, hardwood floors, and granite counters. Large front porch",29.78086494,-95.28812925,Heights style bungalow
387,$400,4,Houston,Mar-16,"Six-acre lakeside getaway in Space City. Enjoy relaxing views, fishing on the pier, swimming in the pool, and the quiet wilderness in this peaceful lakeside gated community.",29.92031126,-95.15585311,4BR Lakehouse w/ Pvt. Pool & Pier
388,$47,1,Houston,Feb-17,"We actively live in our home and invite you to do so as well. Use the house and make it yours. Our home is a traditional 2-story home. This bedroom with two twin beds is on the second floor, fourteen steps up. Many of our rooms have color. This bedroom is pink and sleeps two people. Another bedroom is blue and has a queen bed. It can be reserved on another listing. The colors are tactful and tastefully done. The neighborhood is very well taken care. This is beautiful place to stay.",30.03817371,-95.22427571,2 Twin Sleeps 2 NE Houston 20 Minutes from Bush
389,$210,1,Houston,Mar-16,"Room available 02-03-2017 thur 02-06-2017 \n\nThis room is near Hobby Airport includes free WIFI, 32 inch TV, A/C, out door pool, and free continental breakfast...",29.65332554,-95.26211776,Great Stay For Super Bowl 2017
390,$40,1,Houston,Feb-16,"1 Private Bedroom, with queen size bed, private bath, Private Living area, in nice neighbor hood newer house. Can be used by a couple or a single person.",29.70264816,-95.67823132,"Clean Bedroom in Center of Town,"
391,$187,5,Houston,Mar-16,"Home is located in the heart of the Energy Corridor of Houston, TX. \n\nBeautiful &amp; Charming home for rent with full kitchen, High speed wireless internet, washer/dryer, and pool. \n\nHome is in Energy Corridor/Katy area near BP,Academy,Katy Med District,West Houston Medical Center &amp; Texas Children's Hospital.",29.81523107,-95.71377898,Beautiful Home for rent in Energy Corridor area.
392,$35,1,Houston,Mar-17,"Private Patio Home 15 minutes from Hobby Airport, Downtown, The Medical Center . On The Bus Route, Bus 50 come every 15 minutes. Im a mile from the Magnolia Park Train Center. My Huge Covered Patio Is 420 Friendly. NO Smoking Inside. Pets Welcome. BE RESPECTFUL. USE SOMETHING CLEAN IT AND PUT IT BACK. Music can be played as LOUD as you want in your room because the walls are soundproof. I am a very tolerant and open minded. I mostlt garden and cook. Please Message Me Any Questions.",29.72065341,-95.27967308,CLEAN GARDEN PATIO HOUSE 15 MINUTES FROM ANYWHERE
393,$69,0,Houston,Mar-16,"My place is close to \t\nWilliam P. Hobby\n18 min\t9.5 mi\nHouston George Bush Intercontinental\n31 min\t23.5 mi\nParks and Recreation\tDrive\tDistance\nDiscovery Green\n9 min\t2.8 mi\nChildren's Museum of Houston\n10 min\t5.4 mi\nHouston Museum of Natural Science\n12 min\t5.6 mi\nCockrell Butterfly Center\n13 min\t6.0 mi\nHermann Park\n12 min\t6.7 mi\nColleges\tDrive\tDistance\nUniversity of Houston\n8 min\t2.3 mi\n\nUniversity of Houston, Downtown\n11 min\t3.4 mi.",29.73771842,-95.32861856,East Downtown Modern Cabin
394,$539,3,Houston,Dec-16,"Cute cottage in quiet, historic neighborhood just a couple minutes from I- 45 south and minutes from downtown Houston and NRG. This home is located practically in the heart of Houston, there's ample parking in the extra wide driveway and a great backyard plus covered carport. The 3rd bedroom will feature a blow up mattress and there's additional sleeping for 1 more guest in the living room. This home can accommodate up to 7 persons. Perfect rental home for Super Bowl.",29.7274749,-95.31516836,Cute Cottage in the City only 8.9 miles from NRG
395,$99,2,Houston,May-16,"My place is close to restaurants and dining. You‰Ûªll love my place because of the outdoors space and the neighborhood. My place is good for couples, solo adventurers, and business travelers.",29.75884619,-95.2739359,Little Ranch of Pleasanville.
396,$35,1,Houston,Mar-17,"This is a very colorful electic house 15 minutes from Hobby Airport. 15 minutes From Downtown. 30 minutes If you take public transportation which the bus stop is across thw street. Quiet Garden Sanctuary or Party Beer and Grilling With Friends. Perfect Privacy For Either Mood. I recycle, resuse and repurposed most all the patio decor and art. Art Installations Are Welcome And Some Supplies Are Provided.",29.71970126,-95.27909145,Private East End Garden Patio Home
397,$40,1,Houston,Aug-16,"Very spacious and Cozy, Quiet, Safe with friendly Neighbors. Approximately 15 mns",29.70282813,-95.67654342,Quiet and Comfortable
398,$27,1,Houston,Jun-16,"Super close to Hobby Airport, Walmart, Ross, Almeda Mall, Highway 45 South, 24 hours fitness, and AMC theater. \n\nClose to everything!",29.62443175,-95.24211199,Clean Simple Room By Hobby Airport
399,$87,1,Houston,Apr-17,Modern Bedroom,29.68488184,-95.67823221,Cozy Modern Bedroom
400,$150,1,Houston,Jun-16,"My place is close to public transport. My place is good for couples, solo adventurers, business travelers, and furry friends (pets).",29.8387013,-95.24979885,20 mins from Super Bowl!
401,$40,1,Houston,May-16,"You will enjoy a queen size bed w/a shared bathroom, access to pool, balcony, living/dining room and kitchen areas. You will feel right at home. Sitting behind a AMC movie theater and plenty of restaurants. Minutes away from BaytownMall/StudioMovieGrill, 10mins from Hobby Airport and 20mins from downtown.",29.60607442,-95.21469456,Peaceful & Private Getaway Spot
402,$55,1,Houston,Jul-14,"We live in a 3 story, stand alone, townhome. The townhouse itself is large about 2000 sq. ft., with one other private room I rent on Airbnb as well. If you are interested in renting both rooms, you can find the other listing on my profile page.",29.74924408,-95.31933977,Inner loop private gem
403,$40,1,Houston,Aug-16,"You're getting an entire suite - Bedroom, Full spacious bath, Entertainment Room and Balcony (shared) in a completely renovated house in the Historic East End. It is conveniently located and offers multiple amenities.\n\nFeatures\n+ Full Kitchen\n+ Hi Speed Wifi \n+ TV in bedroom and one in Entertainment room with full HD Cable\n+ Mini Bar\n+ Nespresso Espresso Maker and Milk Frother \n+ Washer &amp; Dryer\n\n10 min drive from Downtown, the Medical Center and Hobby Airport.",29.73265825,-95.32504485,The Obama Presidential Suite
404,$500,2,Houston,May-14,Our place is 10 min from IAH and 25 min from the home of Super Bowl LI at NRG stadium. We have 2 queen beds and 2 air mattresses. 2 full baths with garden tubs. Full kitchen. Washer and dryer. Living room provides additional sleeping space. Steps away from grilling/patio area. Gated community. Willing to discuss arrangements of getting guests to and from airport. Please contact us with any questions.,29.92945428,-95.20295946,Spacious 3BD Super Bowl retreat
